MAP_20210402-072147-860_11056	370241.346	6128055.54	82.404	1.1339550	-9.547153	-281.50422	26525.743568	7:21:48.743568
MAP_20210402-072148-041_11057	370245.582	6128056.19	82.240	0.6853290	-9.275046	-281.02578	26525.923386	7:21:48.923386
MAP_20210402-072148-220_11058	370249.826	6128056.82	82.095	0.2199900	-8.915737	-280.50013	26526.103197	7:21:49.103197
MAP_20210402-072148-399_11059	370254.080	6128057.41	81.986	-0.410503	-8.572148	-279.89848	26526.283014	7:21:49.283014
MAP_20210402-072148-580_11060	370258.343	6128057.99	81.915	-1.082944	-8.272195	-279.61938	26526.462803	7:21:49.462803
MAP_20210402-072148-760_11061	370262.616	6128058.56	81.884	-1.800306	-8.044416	-279.71524	26526.642621	7:21:49.642621
MAP_20210402-072148-939_11062	370266.894	6128059.12	81.877	-2.427513	-8.042423	-279.96641	26526.822432	7:21:49.822432
MAP_20210402-072149-118_11063	370271.171	6128059.67	81.885	-3.042372	-8.143194	-280.40245	26527.002249	7:21:50.002249
MAP_20210402-072149-298_11064	370275.445	6128060.22	81.909	-3.524354	-8.352647	-280.49183	26527.182066	7:21:50.182066
MAP_20210402-072149-478_11065	370279.719	6128060.76	81.939	-3.810347	-8.529061	-280.38510	26527.361883	7:21:50.361883
MAP_20210402-072149-658_11066	370283.995	6128061.30	81.968	-3.684897	-8.912100	-280.23923	26527.541700	7:21:50.541700
MAP_20210402-072149-837_11067	370288.277	6128061.84	82.014	-3.332853	-9.230218	-280.00009	26527.721512	7:21:50.721512
MAP_20210402-072150-018_11068	370292.564	6128062.38	82.074	-3.006160	-9.477024	-279.51776	26527.901329	7:21:50.901329
MAP_20210402-072150-198_11069	370296.858	6128062.90	82.144	-2.615141	-9.664425	-278.73544	26528.081119	7:21:51.081119
MAP_20210402-072150-377_11070	370301.169	6128063.42	82.236	-2.269174	-9.688988	-278.33339	26528.260936	7:21:51.260936
